category_ja,name,region,feas_ja,status,budget,budget_tn_yen,timeline,proponent,tags,lat,lng,link
交通・インフラ,北海道新幹線延伸（新函館北斗〜札幌）,北海道,高（着工済・計画決定）,建設中,約2.3兆円,2.3,2030年度末頃,鉄道・運輸機構、JR北海道,新幹線|札幌,43.063,141.347,https://www.jrtt.go.jp/
産業・テクノロジー,Rapidus 次世代半導体製造拠点（千歳）,北海道,高（着工済・計画決定）,建設中,約5兆円,5,2027年 量産開始予定,Rapidus 株式会社,半導体|2nm|国策,42.793,141.69,https://www.rapidus.inc/
産業・テクノロジー,石狩 AI/GPUデータセンター,北海道,高（着工済・計画決定）,拡張中,数百億円〜,0.3,再エネ立地で増床,さくらインターネット ほか,データセンター|AI|GPU,43.2,141.3,https://www.sakura.ad.jp/
エネルギー・環境,北海道〜本州 海底直流送電（日本海ルートHVDC）,北海道,低（構想段階・長期検討）,計画・調査,数千億円〜兆円,1.5,2030年代,OCCTO、電源開発 ほか,HVDC|系統増強|再エネ,39.0,139.6,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%E3%80%9C%E6%9C%AC%E5%B7%9E%20%E6%B5%B7%E5%BA%95%E7%9B%B4%E6%B5%81%E9%80%81%E9%9B%BB%EF%BC%88%E6%97%A5%E6%9C%AC%E6%B5%B7%E3%83%AB%E3%83%BC%E3%83%88HVDC%EF%BC%89%20OCCTO%E3%80%81%E9%9B%BB%E6%BA%90%E9%96%8B%E7%99%BA%20%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,北海道ボールパーク Fビレッジ（エスコンフィールド）,北海道,高（着工済・計画決定）,開業済み,約600億円,0.06,2023年 開業,ファイターズ スポーツ&エンターテイメント,ボールパーク|地域活性化,42.994,141.573,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%91%E3%83%BC%E3%82%AF%20F%E3%83%93%E3%83%AC%E3%83%83%E3%82%B8%EF%BC%88%E3%82%A8%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%EF%BC%89%20%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC%E3%82%BA%20%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%26%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%86%E3%82%A4%E3%83%A1%E3%83%B3%E3%83%88%20%E5%85%AC%E5%BC%8F
交通・インフラ,新千歳空港 機能拡張,北海道,中（一部運用・ルート調整中）,整備中,数千億円,0.3,段階整備,北海道エアポート,空港|物流,42.793,141.692,https://www.google.com/search?q=%E6%96%B0%E5%8D%83%E6%AD%B3%E7%A9%BA%E6%B8%AF%20%E6%A9%9F%E8%83%BD%E6%8B%A1%E5%BC%B5%20%E5%8C%97%E6%B5%B7%E9%81%93%E3%82%A8%E3%82%A2%E3%83%9D%E3%83%BC%E3%83%88%20%E5%85%AC%E5%BC%8F
エネルギー・環境,苫小牧 CCS／カーボンニュートラルポート,北海道,中（一部運用・ルート調整中）,実証〜事業化,数千億円,0.4,2030年代,事業コンソーシアム,CCS|脱炭素|港湾,42.63,141.6,https://www.google.com/search?q=%E8%8B%AB%E5%B0%8F%E7%89%A7%20CCS%EF%BC%8F%E3%82%AB%E3%83%BC%E3%83%9C%E3%83%B3%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%88%E3%83%A9%E3%83%AB%E3%83%9D%E3%83%BC%E3%83%88%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
エネルギー・環境,石狩湾・檜山沖 洋上風力,北海道,中（一部運用・ルート調整中）,計画・一部運開,兆円規模,1.0,順次運開,事業コンソーシアム,洋上風力|再エネ,43.3,141.1,https://www.google.com/search?q=%E7%9F%B3%E7%8B%A9%E6%B9%BE%E3%83%BB%E6%AA%9C%E5%B1%B1%E6%B2%96%20%E6%B4%8B%E4%B8%8A%E9%A2%A8%E5%8A%9B%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
エネルギー・環境,室蘭 グリーン水素・アンモニア拠点,北海道,低（構想段階・長期検討）,構想,数千億円,0.3,長期,事業コンソーシアム,水素|アンモニア,42.32,140.97,https://www.google.com/search?q=%E5%AE%A4%E8%98%AD%20%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E6%B0%B4%E7%B4%A0%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%A2%E3%83%8B%E3%82%A2%E6%8B%A0%E7%82%B9%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
観光・地域活性化,ニセコ 国際リゾート開発,北海道,中（一部運用・ルート調整中）,拡大中,数千億円,0.3,継続,民間事業者,リゾート|インバウンド,42.8,140.69,https://www.google.com/search?q=%E3%83%8B%E3%82%BB%E3%82%B3%20%E5%9B%BD%E9%9A%9B%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E9%96%8B%E7%99%BA%20%E6%B0%91%E9%96%93%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
